H,window,ours_best_variant,ours_best_seed,ours_MCC,ours_DA,ours_BAcc,ours_F1,ours_n,strongest_worse_family,strongest_worse_method,strongest_worse_variant,strongest_worse_seed,worse_MCC,worse_DA,worse_BAcc,worse_F1,worse_n,ours_win,gap_ours_minus_worse
7,disagree_top_80,residual_ridge,777,0.26066128154246404,0.6320754716981132,0.6267951119436268,0.5714285714285714,212,Traditional ML,XGBoost,numeric_default,123,0.22400892778033835,0.6084905660377359,0.6114084381411115,0.6210045662100456,212,True,0.036652353762125695
7,disagree_top_90,residual_ridge,42,0.3492562321188015,0.6310679611650486,0.6599616858237547,0.5681818181818182,103,Traditional ML,XGBoost,numeric_default,42,0.2717897057014959,0.6407766990291263,0.6362068965517241,0.6782608695652174,103,True,0.07746652641730561
7,signal70_disagree70,residual_ridge,777,0.2474817599675579,0.61875,0.6177975702175866,0.5481481481481482,320,Traditional ML,XGBoost,numeric_default,123,0.206474814954784,0.603125,0.6032071565295519,0.6068111455108359,320,True,0.04100694501277388
7,signal70_disagree80,residual_ridge,777,0.2506808396595668,0.6262135922330098,0.6216841310299255,0.5649717514124294,206,Traditional ML,XGBoost,numeric_default,42,0.21689621250580213,0.6067961165048543,0.6082790522042858,0.6124401913875598,206,True,0.03378462715376465
7,signal70_disagree90,residual_ridge,42,0.3492562321188015,0.6310679611650486,0.6599616858237547,0.5681818181818182,103,Traditional ML,XGBoost,numeric_default,42,0.2717897057014959,0.6407766990291263,0.6362068965517241,0.6782608695652174,103,True,0.07746652641730561
7,signal80_disagree70,residual_logistic,777,0.2480694691784169,0.625,0.6201923076923077,0.5614035087719298,200,Traditional ML,XGBoost,numeric_default,123,0.23473973347181912,0.615,0.6169871794871795,0.624390243902439,200,True,0.01332973570659779
7,signal80_disagree80,residual_ridge,777,0.23301441334032622,0.615819209039548,0.6119984666496294,0.5466666666666666,177,Traditional ML,XGBoost,numeric_default,123,0.2576605975700327,0.6271186440677966,0.6284180935343726,0.6373626373626373,177,False,-0.024646184229706464
7,signal80_disagree90,residual_ridge,42,0.3492562321188015,0.6310679611650486,0.6599616858237547,0.5681818181818182,103,Traditional ML,XGBoost,numeric_default,42,0.2717897057014959,0.6407766990291263,0.6362068965517241,0.6782608695652174,103,True,0.07746652641730561
7,signal90_disagree70,residual_ridge,42,0.2530700514076111,0.616822429906542,0.609965034965035,0.4810126582278481,107,Traditional ML,XGBoost,numeric_default,123,0.25402385506066877,0.6261682242990654,0.6269230769230769,0.6296296296296297,107,False,-0.0009538036530576943
7,signal90_disagree80,residual_ridge,42,0.2530700514076111,0.616822429906542,0.609965034965035,0.4810126582278481,107,Traditional ML,XGBoost,numeric_default,123,0.25402385506066877,0.6261682242990654,0.6269230769230769,0.6296296296296297,107,False,-0.0009538036530576943
7,signal90_disagree90,residual_ridge,42,0.3575159857445103,0.6428571428571429,0.6598290598290598,0.5588235294117647,84,Traditional ML,XGBoost,numeric_default,42,0.2341880341880342,0.6190476190476191,0.6170940170940171,0.6444444444444445,84,True,0.12332795155647613
